satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,promotion_last_5years,salary,left
0.3745401188473625,0.3736408184666985,7,115,8,1,0,high,1
0.9507143064099162,0.3329120962314033,3,199,8,1,1,high,1
0.7319939418114051,0.17615391250286005,5,275,2,0,0,high,1
0.5986584841970366,0.6072666701014879,6,101,5,1,0,high,0
0.15601864044243652,0.4766241605086289,6,118,7,0,0,medium,1
0.15599452033620265,0.8657009923240037,4,265,5,0,0,high,0
0.05808361216819946,0.03210958048205825,7,247,4,0,1,medium,1
0.8661761457749352,0.6438679275551263,2,100,5,0,0,medium,0
0.6011150117432088,0.7629488785115611,4,255,6,1,0,high,1
0.7080725777960455,0.759486569188307,2,141,3,0,1,low,0
0.020584494295802447,0.8860739670955251,7,112,9,1,0,high,1
0.9699098521619943,0.7290337428294941,4,170,8,1,1,medium,1
0.8324426408004217,0.9278100616476963,4,122,7,0,0,high,1
0.21233911067827616,0.33265659982089146,6,291,8,0,1,high,1
0.18182496720710062,0.5032094167515431,2,118,5,1,1,high,0
0.18340450985343382,0.014079663282890675,3,182,9,0,1,medium,1
0.3042422429595377,0.006957587303291213,3,208,4,1,1,medium,0
0.5247564316322378,0.2401266204515199,4,216,7,0,0,medium,1
0.43194501864211576,0.10080719713908526,7,257,3,1,0,low,1
0.2912291401980419,0.2602113679357536,4,244,7,1,1,low,0
0.6118528947223795,0.1770432945283974,6,245,9,0,1,low,1
0.13949386065204183,0.02852002483864824,2,160,9,0,1,low,1
0.29214464853521815,0.9093041464060494,4,255,8,0,0,high,1
0.3663618432936917,0.008223131388891525,7,285,8,0,1,low,1
0.45606998421703593,0.7360821443370854,3,123,6,1,0,low,1
0.7851759613930136,0.15214788691951653,2,177,6,0,0,low,1
0.19967378215835974,0.9122296219996,4,102,6,1,1,high,1
0.5142344384136116,0.8927959395898858,2,277,4,1,1,low,0
0.5924145688620425,0.6539011463692573,6,197,3,1,0,low,0
0.046450412719997725,0.6722341498006051,3,293,6,1,1,low,0
0.6075448519014384,0.005339141969688543,7,109,8,0,1,medium,1
0.17052412368729153,0.984871566113602,2,278,5,0,0,low,1
0.06505159298527952,0.8778326035758144,3,153,3,1,1,low,0
0.9488855372533332,0.895106225730092,4,139,6,1,1,low,0
0.9656320330745594,0.6592445370508719,7,269,9,0,0,high,1
0.8083973481164611,0.34478692865453653,7,109,3,0,1,low,0
0.3046137691733707,0.8936486490904808,5,139,7,1,1,low,0
0.09767211400638387,0.29151692815119234,2,264,5,1,0,medium,1
0.6842330265121569,0.5627115433422029,3,168,2,1,1,medium,0
0.4401524937396013,0.0997309723438824,2,97,6,0,0,high,1
0.12203823484477883,0.9219556301327502,4,305,9,0,1,high,1
